links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
2980,6,5,5,0.0,0.271356783919598,0.015228426395939087
2990,6,5,5,0.0,0.26865671641791045,0.015151515151515152
3000,6,5,5,0.0,0.27941176470588236,0.015151515151515152
3010,6,5,5,0.0,0.2766990291262136,0.015
3020,6,5,5,0.0,0.2766990291262136,0.014925373134328358
3030,6,5,5,0.0,0.2766990291262136,0.014778325123152709
3040,6,5,5,0.0,0.28846153846153844,0.014778325123152709
3050,6,5,5,0.0,0.2857142857142857,0.014705882352941176
3060,6,5,5,0.0,0.2857142857142857,0.014634146341463415
3070,6,5,5,0.0,0.2830188679245283,0.014634146341463415
3080,6,5,5,0.0,0.2803738317757009,0.014634146341463415
3090,6,5,5,0.0,0.27906976744186046,0.014634146341463415
3100,6,5,5,0.0,0.2764976958525346,0.014563106796116505
3110,6,5,5,0.0,0.27522935779816515,0.014492753623188406
3120,6,5,5,0.0,0.27522935779816515,0.014492753623188406
3130,6,5,5,0.0,0.273972602739726,0.014492753623188406
3140,6,5,5,0.0,0.273972602739726,0.014492753623188406
3150,6,5,5,0.0,0.273972602739726,0.014354066985645933
3160,6,5,5,0.0,0.273972602739726,0.014285714285714285
3170,6,5,5,0.0,0.27149321266968324,0.014218009478672985
3180,6,5,5,0.0,0.2702702702702703,0.013953488372093023
3190,6,5,5,0.0,0.2702702702702703,0.013888888888888888
3200,6,5,5,0.0,0.2702702702702703,0.013761467889908258
3210,6,5,5,0.0,0.27876106194690264,0.0136986301369863
3220,6,5,5,0.0,0.27631578947368424,0.0136986301369863
3230,6,5,5,0.0,0.27391304347826084,0.013636363636363636
3240,6,5,5,0.0,0.2727272727272727,0.013636363636363636
3250,6,5,5,0.0,0.27155172413793105,0.013513513513513514
3260,6,5,5,0.0,0.2692307692307692,0.013392857142857142
3270,6,5,5,0.0,0.2680851063829787,0.013333333333333334
3280,6,5,5,0.0,0.2669491525423729,0.013157894736842105
3290,6,5,5,0.0,0.2669491525423729,0.013043478260869565
3300,6,5,5,0.0,0.26582278481012656,0.013043478260869565
