links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
10400,7609,7198,7773,0.10356482941998288,0.1570075671756763,0.04056057135156987
10500,7684,7277,7840,0.10477623832499668,0.15565723424103772,0.0408514013749339
10600,7727,7334,7865,0.10593900481540931,0.15500327011118378,0.04087723851544251
10700,7778,7422,7915,0.10614169215086647,0.1541329219694048,0.04115523465703971
10800,7813,7459,7970,0.10668224884177135,0.15469636478251733,0.04209119759478871
10900,7864,7548,8043,0.1078986220472441,0.15500804754240435,0.04260034474267422
11000,7914,7636,8109,0.1087657106026426,0.15538187413946708,0.043509789702683106
11100,7954,7687,8179,0.11006015513693208,0.15472403372037538,0.044988723143275434
11200,7993,7748,8213,0.11092123660090104,0.1541136026252051,0.045933237477169396
11300,8045,7821,8239,0.11186091730527278,0.15495986789047198,0.04691254433807544
11400,8069,7869,8270,0.11228503990109026,0.15558826859925262,0.04782445611402851
11500,8106,7935,8296,0.11341382610616212,0.15612142777716,0.04802833007488288
11600,8182,7971,8319,0.11426916253303886,0.15626364033173287,0.048599282426702424
11700,8249,8007,8371,0.11571336989814089,0.15675888479295658,0.04911016798031313
11800,8288,8049,8418,0.11706599411517445,0.15665741293881996,0.04933412980076601
11900,8329,8094,8448,0.11872397536047352,0.1568417415342087,0.05058742225293711
12000,8372,8125,8471,0.11966246441642944,0.15769635641278143,0.050944165194946336
12100,8395,8184,8517,0.12134741611968147,0.1580687168185916,0.051364365971107544
12200,8439,8229,8552,0.12213990690355996,0.15878123255737597,0.05234567901234568
12300,8474,8280,8575,0.12314731279804099,0.15927484622855292,0.05320388349514563
12400,8500,8330,8598,0.12387894153066076,0.1598407643312102,0.05376070280421428
12500,8517,8370,8639,0.12558356676003735,0.1604353553729377,0.05428589318139127
12600,8543,8400,8666,0.12697537669974274,0.1616139787601877,0.05485439881795235
12700,8558,8423,8698,0.12825379609544468,0.1617213836668995,0.05519185306419349
12800,8582,8443,8731,0.12899875363523058,0.16216943879382553,0.05629810847902619
12900,8601,8468,8750,0.12896721024022445,0.1628283661208623,0.05716382853787434
13000,8639,8497,8771,0.13032970826860005,0.16441689357511152,0.05804268610098907
13100,8673,8559,8801,0.13116286977218633,0.16457465624465112,0.05829724185092318
13200,8688,8591,8823,0.13211285686378477,0.16541543652467314,0.0587393755785576
13300,8720,8615,8836,0.13273022245442295,0.16603909408051387,0.05979928672140665
13400,8746,8632,8849,0.13327370304114491,0.16648966587697084,0.06026621662084547
13500,8773,8658,8872,0.1342948717948718,0.1664428809280842,0.06097626463322951
13600,8785,8675,8891,0.13490414705340942,0.16805966991112992,0.06252641589180051
13700,8794,8706,8908,0.13645542093817956,0.16846466541588492,0.06266440942831097
13800,8818,8767,8925,0.1379019908116386,0.16854712277365133,0.06422088909398554
13900,8851,8787,8954,0.13927870831447112,0.16972105502961576,0.06602392610166069
14000,8864,8818,8985,0.1409026693434456,0.17096427947380244,0.06680282953073628
14100,8894,8833,9002,0.14157929466969718,0.1718480987751488,0.06819352149285206
14200,8905,8853,9014,0.14265744378298909,0.17284190106692532,0.06963754624368305
14300,8931,8877,9045,0.14308811641067098,0.17323701081236245,0.07072031272345902
14400,8953,8900,9071,0.1439966217801342,0.17432403762287546,0.07081332956791866
14500,8977,8935,9092,0.14465103371721938,0.17425387889925328,0.07166403565790695
14600,8995,8970,9110,0.1457553628480146,0.1750401836969001,0.07204399633363887
14700,9020,8984,9128,0.14666606616074043,0.17576745449606085,0.07349348534201955
14800,9035,8998,9139,0.14721308560760957,0.17623811012369936,0.0746102201503357
14900,9047,9016,9160,0.14786692415730338,0.1773806113229169,0.07548706659328563
15000,9067,9057,9168,0.14888917760166298,0.17840518553965284,0.07665422021535255
15100,9085,9066,9186,0.15028185855825077,0.17853846979289623,0.07763995115367311
15200,9097,9104,9198,0.1519435373433056,0.17836635236783557,0.07892568095851911
15300,9113,9120,9213,0.15225798403193613,0.1787535529175723,0.07986168971838027
15400,9124,9138,9223,0.1522551758133421,0.17997028354451278,0.08124935785472105
15500,9134,9168,9248,0.15341738284417059,0.18039503455023542,0.08216091113953347
15600,9157,9177,9264,0.15420476600172073,0.18134954994865185,0.08391608391608392
15700,9169,9203,9272,0.15579338124950637,0.18171694473720842,0.08549730039752389
15800,9187,9212,9285,0.1569862693087845,0.1820749720473136,0.08658972406116351
15900,9206,9228,9303,0.1581472418643186,0.18303588711238433,0.08816893260052068
16000,9223,9248,9312,0.1586700416801477,0.1834264075887393,0.08956246906058414
16100,9238,9266,9327,0.15975797662445038,0.18391868659197824,0.09061500846341922
16200,9259,9277,9340,0.1609419362021934,0.18385072285105905,0.09230254723816955
16300,9277,9295,9345,0.16252772024998624,0.18407693869639857,0.0940302613480055
16400,9293,9305,9355,0.1639763030599489,0.18487226277372262,0.09516821566389477
16500,9305,9324,9368,0.16485935151385012,0.18618786523338865,0.09630292722227195
16600,9321,9335,9372,0.165405290705899,0.1874098477428546,0.09788083918061471
16700,9336,9355,9379,0.16636663928552703,0.18799190069548377,0.09883832649139662
16800,9349,9365,9394,0.1680402218421189,0.1888707094618116,0.10010708487339805
16900,9358,9372,9400,0.1689167278250926,0.19000979431929482,0.10133474431624223
17000,9371,9385,9409,0.1697616758589283,0.19133108004823615,0.1025160735078216
17100,9374,9404,9411,0.1709170917091709,0.191123872852753,0.10455576307363927
